Sale Identifier,Date,Book Title,Quantity,Unit Price,Total Price
1,2022-11-13,All About Love,3,11.8,35.4
2,2020-06-17,Why We Sleep,1,42.71,42.71
2,2019-01-24,Twenty Thousand Leagues Under the Seas,2,33.48,66.96
2,2022-10-29,The Battle for Paradise: Puerto Rico Stays Strong,3,38.31,114.93
3,2020-04-28,The Alchemist,3,19.27,57.81
3,2019-03-28,The Better Angels of Our Nature,1,14.11,14.11
4,2022-07-14,Frankenstein,3,31.88,95.64
4,2023-09-23,Money Master the Game,3,40.3,120.9
5,2024-06-24,Predictably Irrational,1,32.45,32.45
6,2024-08-13,Smarter Faster Better,2,35.25,70.5
6,2019-07-20,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,2,20.3,40.6
7,2024-12-04,Devil in Winter,3,29.05,87.15
8,2019-12-28,The Republic,2,49.12,98.24
9,2022-05-05,What Do You Want To Do When You Grow Up?: Career Planning for the 21st Century,1,15.9,15.9
10,2025-12-09,The Art of War,1,25.78,25.78
11,2019-08-03,The Happiness Trap,3,39.27,117.81
11,2022-09-28,The Alchemist,1,45.28,45.28
11,2025-08-04,Orientalism,3,22.35,67.05
11,2022-12-24,Underland,3,22.35,67.05
12,2019-10-11,Falter: Has Human History Begun to End?,3,28.0,84.0
13,2019-04-29,World Without Mind: The Existential Threat of Big Tech,2,42.55,85.1
13,2023-06-20,The Children of Men,2,28.94,57.88
14,2021-11-20,Nicomachean Ethics,3,31.74,95.22
15,2019-03-29,The Financial Diet,2,31.91,63.82
15,2019-11-12,Big Little Lies,3,32.19,96.57
16,2022-09-06,Unbound: My Story of Liberation and the Birth of the Me Too Movement,1,14.73,14.73
17,2023-09-05,"The Utopia of Rules: On Technology, Stupidity and the Secret Joys of Bureaucracy",1,39.81,39.81
17,2019-05-01,The Better Angels of Our Nature,3,11.04,33.12
17,2025-08-17,Shoe Dog,2,33.18,66.36
18,2024-02-13,Mythos,2,20.73,41.46
18,2020-01-22,The Little Book That Beats the Market,3,45.13,135.39
19,2024-01-29,And Then There Were None,2,29.46,58.92
20,2021-02-16,The Prince,2,23.28,46.56
20,2020-12-21,Crying in H Mart,1,48.64,48.64
20,2021-05-07,The Selfish Gene,1,43.13,43.13
20,2022-03-11,Brave New World,1,36.91,36.91
21,2022-08-12,"Farewell, My Lovely",1,16.36,16.36
21,2023-09-14,Alexander Hamilton,1,40.15,40.15
22,2022-06-30,The 4-Hour Workweek,3,23.15,69.45
22,2025-12-11,Long Walk to Freedom,3,14.81,44.43
23,2019-05-09,Anna Karenina,3,44.13,132.39
24,2025-07-01,The War of the Worlds,1,22.35,22.35
25,2020-08-05,A Night to Surrender,3,17.15,51.45
25,2022-03-10,New Dark Age: Technology and the End of the Future,1,26.72,26.72
26,2019-02-08,Never Let Me Go,1,17.99,17.99
27,2024-10-22,Your Erroneous Zones,2,29.53,59.06
27,2021-04-13,The Alchemist,1,41.14,41.14
27,2025-09-18,Gender Trouble,1,42.25,42.25
27,2023-05-08,The Better Angels of Our Nature,3,19.23,57.69
27,2022-04-25,Sharp Objects,1,41.69,41.69
27,2020-04-20,The Elements of Style,3,21.8,65.4
27,2024-07-09,The Children of Men,2,17.24,34.48
28,2022-02-25,A Sand County Almanac,1,32.96,32.96
29,2023-08-21,The Day of the Triffids,3,48.01,144.03
29,2022-08-01,Security Analysis,3,13.94,41.82
30,2022-12-02,Educated,3,29.97,89.91
31,2024-05-23,Security Analysis,3,34.1,102.3
31,2025-12-26,"Guns, Germs, and Steel",3,14.98,44.94
31,2022-09-06,Emotional Intelligence 2.0,1,18.12,18.12
31,2022-05-28,Angels & Demons,2,28.28,56.56
32,2019-11-18,Dead Wake,1,40.03,40.03
33,2019-12-18,Einstein: His Life and Universe,3,32.49,97.47
34,2024-07-16,The 48 Laws of Power,2,18.23,36.46
35,2019-02-07,Noise: A Flaw in Human Judgment,3,24.44,73.32
35,2020-04-07,The Little Book of Common Sense Investing,3,19.91,59.73
35,2023-11-15,The Woman in Cabin 10,3,19.69,59.07
35,2020-07-23,Adrift: America in 100 Charts,2,31.47,62.94
35,2024-05-13,Nineteen Eighty-Four,2,27.5,55.0
36,2019-05-14,Mindset: The New Psychology of Success,3,26.02,78.06
