date,product_name,category,quantity,price,shop,gender,revenue,year,month,week,day
1720742,Murder on the Orient Express,Biography,1,19.99,online,Female,19.99,1970,1,1,0
1699142,Pride and Prejudice,Non-Fiction,2,24.99,online,Male,49.98,1970,1,1,0
1699142,Gone Girl,Fiction,1,29.99,online,Male,29.99,1970,1,1,0
1743120,Dune,Biography,1,15.5,online,Male,15.5,1970,1,1,0
1726358,It Ends With Us,Science Fiction,1,22.0,online,Female,22.0,1970,1,1,0
1684368,War and Peace,Thriller,2,17.99,online,Male,35.98,1970,1,1,0
1740182,1984,Thriller,1,20.0,online,Female,20.0,1970,1,1,0
1740182,The Souls of Black Folk,Science Fiction,3,20.0,online,Female,60.0,1970,1,1,0
1717372,Words of Radiance,Science Fiction,1,21.75,online,Male,21.75,1970,1,1,0
1691625,The Maltese Falcon,Non-Fiction,2,18.99,online,Male,37.98,1970,1,1,0
1691625,Foundation,Non-Fiction,1,19.99,online,Male,19.99,1970,1,1,0
1736208,Crime and Punishment,Biography,1,13.5,online,Female,13.5,1970,1,1,0
1735084,Mistborn: The Final Empire,Fiction,1,25.99,online,Male,25.99,1970,1,1,0
1710374,The Fellowship of the Ring,Mystery,2,23.99,online,Female,47.98,1970,1,1,0
1695168,In the Woods,Thriller,1,27.49,online,Male,27.49,1970,1,1,0
1761955,Jane Eyre,Biography,1,18.75,online,Male,18.75,1970,1,1,0
1720310,Steve Jobs,Romance,1,30.0,online,Female,30.0,1970,1,1,0
1681516,A Tale of Two Cities,Non-Fiction,1,16.99,online,Male,16.99,1970,1,1,0
1756339,American Gods,Biography,2,24.99,online,Female,49.98,1970,1,1,0
1715299,Childhood’s End,Science Fiction,1,19.99,online,Male,19.99,1970,1,1,0
1701561,Alexander Hamilton,Science Fiction,1,15.5,online,Male,15.5,1970,1,1,0
1750118,Harry Potter and the Half-Blood Prince,Science Fiction,1,12.99,online,Female,12.99,1970,1,1,0
1732924,Cover Her Face,Science Fiction,1,17.25,online,Male,17.25,1970,1,1,0
1704844,Team of Rivals,Fiction,1,23.5,online,Female,23.5,1970,1,1,0
1689292,Rendezvous with Rama,Mystery,2,26.99,online,Male,53.98,1970,1,1,0
1745193,Einstein: His Life and Universe,Non-Fiction,1,21.0,online,Male,21.0,1970,1,1,0
1709424,Anna Karenina,Biography,1,20.0,online,Female,20.0,1970,1,1,0
1687651,And Then There Were None,Romance,2,19.75,online,Male,39.5,1970,1,1,0
1687651,Murder on the Orient Express,Biography,1,19.99,online,Male,19.99,1970,1,1,0
1737244,Do Androids Dream of Electric Sheep?,Romance,1,22.99,online,Female,22.99,1970,1,1,0
1723334,The Da Vinci Code,Thriller,1,19.49,online,Male,19.49,1970,1,1,0
1723334,Jane Eyre,Biography,1,19.99,online,Male,19.99,1970,1,1,0
1696464,Shroud for a Nightingale,Science Fiction,2,24.25,online,Male,48.5,1970,1,1,0
1739145,The Left Hand of Darkness,Science Fiction,1,23.99,online,Female,23.99,1970,1,1,0
1730419,Becoming,Non-Fiction,2,16.99,online,Male,33.98,1970,1,1,0
1714262,The Shining,Non-Fiction,1,18.99,online,Female,18.99,1970,1,1,0
1693353,The Spy Who Came in from the Cold,Science Fiction,1,21.5,online,Male,21.5,1970,1,1,0
1757894,Foundation,Non-Fiction,2,19.5,online,Male,39.0,1970,1,1,0
1718841,One Hundred Years of Solitude,Science Fiction,1,20.75,online,Female,20.75,1970,1,1,0
1678492,The Thin Man,Romance,1,24.99,online,Male,24.99,1970,1,1,0
1753747,The Fellowship of the Ring,Mystery,1,25.5,online,Female,25.5,1970,1,1,0
1715644,Narrative of the Life of Frederick Douglass,Romance,1,18.0,online,Male,18.0,1970,1,1,0
1699660,Wuthering Heights,Thriller,2,22.99,online,Male,45.98,1970,1,1,0
1759449,The Notebook,Thriller,1,15.25,online,Female,15.25,1970,1,1,0
1733702,Harry Potter and the Prisoner of Azkaban,Thriller,1,19.99,online,Male,19.99,1970,1,1,0
1683331,The Graveyard Book,Romance,2,24.99,online,Female,49.98,1970,1,1,0
1683331,Pride and Prejudice,Non-Fiction,1,24.99,online,Female,24.99,1970,1,1,0
1737936,Strangers on a Train,Romance,1,16.99,online,Male,16.99,1970,1,1,0
1727827,No Ordinary Time,Science Fiction,1,30.0,online,Male,30.0,1970,1,1,0
1686960,Animal Farm,Fiction,1,17.75,online,Female,17.75,1970,1,1,0
1742342,Sharp Objects,Thriller,2,19.99,online,Male,39.98,1970,1,1,0
1707696,John Adams,Thriller,1,22.5,online,Female,22.5,1970,1,1,0
1693785,Sapiens,Mystery,1,25.99,online,Male,25.99,1970,1,1,0
1754524,The Devil in the White City,Fiction,2,21.99,online,Male,43.98,1970,1,1,0
1721174,Mistborn: The Final Empire,Fiction,1,23.99,online,Female,23.99,1970,1,1,0
1698451,The Big Sleep,Science Fiction,1,26.5,online,Male,26.5,1970,1,1,0
1724112,The Likeness,Biography,1,19.99,online,Female,19.99,1970,1,1,0
1696118,"I, Robot",Non-Fiction,2,20.99,online,Male,41.98,1970,1,1,0
1744156,The Bourne Identity,Romance,1,24.5,online,Male,24.5,1970,1,1,0
1726617,The Brothers Karamazov,Fiction,1,28.99,online,Female,28.99,1970,1,1,0
1684713,The Light We Carry,Romance,1,31.0,online,Male,31.0,1970,1,1,0
1738108,Grant,Thriller,2,29.49,online,Female,58.98,1970,1,1,0
1738108,A Tale of Two Cities,Non-Fiction,1,16.99,online,Female,16.99,1970,1,1,0
1718064,Agnes Grey,Non-Fiction,1,23.99,online,Male,23.99,1970,1,1,0
1692662,Children of Dune,Non-Fiction,1,24.25,online,Male,24.25,1970,1,1,0
1736553,Homo Deus,Thriller,1,27.5,online,Female,27.5,1970,1,1,0
1731888,The Dispossessed,Biography,2,19.99,online,Male,39.98,1970,1,1,0
1731888,War and Peace,Thriller,1,17.99,online,Male,17.99,1970,1,1,0
1710979,The Two Towers,Biography,1,20.75,online,Female,20.75,1970,1,1,0
1695686,Dead Wake,Science Fiction,1,29.99,online,Male,29.99,1970,1,1,0
1760400,The Wedding,Thriller,1,19.99,online,Male,19.99,1970,1,1,0
1719964,The Souls of Black Folk,Science Fiction,1,25.99,online,Female,25.99,1970,1,1,0
1681862,Angels & Demons,Mystery,2,18.5,online,Male,37.0,1970,1,1,0
1755216,Great Expectations,Mystery,1,21.49,online,Female,21.49,1970,1,1,0
1755216,Sense and Sensibility,Non-Fiction,1,21.49,online,Female,21.49,1970,1,1,0
1755216,Anna Karenina,Biography,1,21.49,online,Female,21.49,1970,1,1,0
1715990,Villette,Science Fiction,1,30.0,online,Male,30.0,1970,1,1,0
1702252,"Farewell, My Lovely",Science Fiction,1,22.25,online,Male,22.25,1970,1,1,0
1750550,My Bondage and My Freedom,Mystery,2,24.75,online,Female,49.5,1970,1,1,0
1732492,Truman,Thriller,1,28.0,online,Male,28.0,1970,1,1,0
1705622,Love in the Time of Cholera,Science Fiction,2,19.99,online,Female,39.98,1970,1,1,0
